id,Macro,Policy,Real Yields,Macro val,Policy val,Real Yields val,Real Yields val2,Real Yields val3
ARE,0,0,0,n/a,n/a,n/a,n/a,n/a
AUS,5,3,3,54.4547,No activity in 24 months,1.9,2.668,0.768
AUT,5,3,1,53.8263,No activity in 24 months,2,0.674,-1.326
BEL,5,3,1,53.0549,No activity in 24 months,2.35,0.828,-1.522
BRA,3,5,5,50.5046,"Easing, last move easing",4.53,11.755,7.225
CAN,5,2,3,53.943,"Tightening, last move easing",2.2,2.425,0.225
CHE,5,3,2,57.4,No activity in 24 months,1,0.014,-0.986
CHL,0,2,4,0,"Tightening, last move easing",3.1,4.852,1.752
CHN,3,3,4,50.4505,No activity in 24 months,2.5,3.618,1.118
COL,0,5,5,0,"Easing, last move easing",3.23,6.89,3.66
CYP,0,3,0,n/a,No activity in 24 months,n/a,n/a,n/a
CZE,5,1,2,52.4697,"Tightening, last move tightening",2.3,2.147,-0.153
DEU,5,3,1,53.3974,No activity in 24 months,2.3,0.469,-1.831
DNK,5,3,2,67.0734,No activity in 24 months,0.6,0.397,-0.203
EGY,0,0,0,n/a,n/a,n/a,n/a,n/a
ESP,0,3,0,n/a,No activity in 24 months,n/a,n/a,n/a
EST,0,3,0,n/a,No activity in 24 months,n/a,n/a,n/a
FIN,0,3,0,n/a,No activity in 24 months,n/a,n/a,n/a
FRA,5,3,1,54.1211,No activity in 24 months,2.2,0.802,-1.398
GBR,5,1,2,52.0902,"Tightening, last move tightening",2.4,1.573,-0.827
GRC,5,3,5,53.0723,No activity in 24 months,1.09,4.152,3.062
HUN,5,3,2,57.3,No activity in 24 months,3.6,3.545,-0.055
IDN,3,1,5,50.534,"Tightening, last move tightening",2.88,8.059,5.179
IND,5,1,5,52.9697,"Tightening, last move tightening",3.7,8.024,4.324
IRL,0,3,0,n/a,No activity in 24 months,n/a,n/a,n/a
ISR,0,0,0,n/a,n/a,n/a,n/a,n/a
ITA,0,3,0,n/a,No activity in 24 months,n/a,n/a,n/a
JPN,5,3,1,52.5124,No activity in 24 months,1.2,0.124,-1.076
KOR,3,0,3,50.9958,n/a,1.9,2.355,0.455
LTU,0,3,0,n/a,No activity in 24 months,n/a,n/a,n/a
LUX,0,3,0,n/a,No activity in 24 months,n/a,n/a,n/a
LVA,0,3,0,n/a,No activity in 24 months,n/a,n/a,n/a
MEX,3,1,5,50.6584,"Tightening, last move tightening",5.02,7.927,2.907
MLT,0,3,0,n/a,No activity in 24 months,n/a,n/a,n/a
MYS,2,2,5,49.2451,"Tightening, last move easing",0.3,4.062,3.762
NLD,5,3,1,57.1335,No activity in 24 months,1.9,0.576,-1.324
NOR,0,2,1,0,"Tightening, last move easing",3.4,1.922,-1.478
NZL,4,3,3,51.6714,No activity in 24 months,1.9,2.613,0.713
PER,0,5,5,0,"Easing, last move easing",1.32,5.612,4.292
PHL,5,1,2,53.9902,"Tightening, last move tightening",6.7,6.486,-0.214
POL,3,3,4,50.3684,No activity in 24 months,1.9,3.232,1.332
PRT,0,3,0,n/a,No activity in 24 months,n/a,n/a,n/a
QAT,0,2,0,0,"Tightening, last move easing",-0.38,n/a,n/a
RUS,5,2,5,55.8214,"Tightening, last move easing",3.4,8.53,5.13
SGP,5,0,4,52.9053,n/a,0.7,2.491,1.791
SVK,0,3,0,n/a,No activity in 24 months,n/a,n/a,n/a
SVN,0,3,0,n/a,No activity in 24 months,n/a,n/a,n/a
SWE,0,3,1,0,No activity in 24 months,2.3,0.628,-1.672
THA,2,3,4,48.9411,No activity in 24 months,1.33,2.808,1.478
TUR,1,1,1,44.2681,"Tightening, last move tightening",24.52,20.03,-4.49
TWN,2,3,2,48.7154,No activity in 24 months,1.72,1.0253,-0.6947
USA,5,1,3,54.9169,"Tightening, last move tightening",2.3,3.0612,0.7612
ZAF,1,5,5,43.9848,"Easing, last move easing",4.9,9.615,4.715
VNM,5,0,4,53.8901,n/a,3.98,5.25,1.27
ISL,0,2,5,0,"Tightening, last move easing",2.7,5.68,2.98
SAU,5,1,0,56.0968,"Tightening, last move tightening",2.1,n/a,n/a